ticker,sector,pe_trailing,pe_forward,ps_ratio,pb_ratio,ev_ebitda,peg_ratio,fcf_yield,revenue_growth,earnings_growth,operating_margin,profit_margin,gross_margin,roe,roa,debt_to_equity,current_ratio,dividend_yield
A,Healthcare,25.4923,17.5756,4.6231,4.7258,17.467,1.2075,0.0262,0.07,-0.036,0.2286,0.1826,0.523,0.1995,0.0853,0.5139,2.066,0.88
AAPL,Technology,32.354,27.4732,8.6349,42.6676,24.727,2.2733,0.0283,0.157,0.183,0.3537,0.2704,0.4732,1.5202,0.2438,1.0263,0.974,0.41
ABBV,Healthcare,88.4915,12.9586,6.0397,-112.8865,14.783,0.4949,0.0496,0.1,,0.3411,0.0691,0.7162,62.25,0.0981,,0.671,3.31
ABNB,Consumer Cyclical,30.9282,21.6062,6.1195,9.174,25.706,1.1911,0.0473,0.12,-0.237,0.0968,0.2051,0.8296,0.3023,0.0737,0.277,1.377,
ABT,Healthcare,27.6532,16.8529,4.0326,3.4269,15.341,1.4884,0.0352,0.044,-0.809,0.2162,0.1472,0.5666,0.1296,0.0663,0.2679,1.576,2.45
ACGL,Financial Services,8.3397,9.5665,1.7294,1.4799,6.213,,-0.4933,0.085,0.388,0.2953,0.2207,0.3716,0.1954,0.0444,0.1192,1.077,
ACN,Technology,16.5025,13.4869,1.7183,3.9662,9.745,1.5526,0.0982,0.083,0.04,0.1382,0.1061,0.3203,0.2476,0.1116,0.2547,1.336,3.24
ADBE,Technology,14.1644,9.2169,4.0495,8.6264,10.294,0.6897,0.0941,0.12,0.111,0.3876,0.2948,0.894,0.5877,0.189,0.5834,0.912,
ADI,Technology,58.0912,24.4338,13.2192,4.5998,29.321,0.7918,0.0266,0.304,1.167,0.3307,0.2302,0.6284,0.0786,0.0454,0.2575,1.756,1.28
ADM,Consumer Defensive,33.1076,15.215,0.4432,1.5589,17.664,0.9518,0.0604,-0.137,-0.197,0.0182,0.0134,0.0627,0.0472,0.0171,0.4238,1.365,2.82
ADP,Technology,19.6163,17.0463,3.8894,12.8599,13.605,2.6104,0.0419,0.062,0.115,0.2628,0.1996,0.4835,0.7384,0.0471,0.7004,1.032,3.33
ADSK,Technology,45.4351,16.9077,7.0043,16.5759,26.428,0.9276,0.0552,0.194,0.063,0.2724,0.156,0.9233,0.3968,0.097,0.8979,0.851,
AEE,Utilities,20.8748,19.2876,3.6448,2.3034,13.685,2.8401,-0.0481,-0.088,0.195,0.246,0.1719,0.4924,0.1134,0.0305,1.4712,0.658,2.69
AEP,Utilities,19.9219,19.3374,3.2968,2.3046,13.634,2.8518,-0.0713,0.132,-0.126,0.2284,0.1636,0.4752,0.1249,0.0317,1.5424,0.455,2.86
AES,Utilities,10.916,5.9905,0.8336,2.5066,13.653,,-0.3027,0.047,-0.317,0.1658,0.0744,0.184,0.0195,0.0254,2.5939,0.766,4.92
AFL,Financial Services,16.1994,14.22,3.3736,1.9432,12.947,,0.0894,-0.099,-0.229,0.3356,0.2124,0.4664,0.1312,0.0254,0.4268,1.07,2.21
AIG,Financial Services,13.8895,8.5245,1.5292,0.9866,4.82,,0.2766,-0.072,-0.056,0.1377,0.1163,0.3411,0.074,0.0173,0.2441,0.622,2.39
AIZ,Financial Services,12.8843,9.8037,0.853,1.8509,7.396,,0.2001,0.079,0.151,0.1012,0.0681,0.1189,0.159,0.0215,0.3884,0.405,1.54
AJG,Financial Services,37.9112,14.6544,4.3007,2.3981,19.602,0.9403,0.0192,0.367,-0.483,0.1044,0.1148,0.4216,0.0691,0.0224,0.5835,1.056,1.29
AKAM,Technology,38.4365,15.5293,4.0628,3.4307,18.279,1.3592,0.0338,0.074,-0.374,0.1382,0.1074,0.5895,0.0917,0.0359,1.1402,2.363,
ALB,Basic Materials,,20.3475,4.0824,2.8725,34.121,1.2905,0.0216,0.159,,0.0226,-0.0993,0.131,-0.0466,0.003,0.3395,2.229,0.91
ALGN,Healthcare,30.1947,13.8813,3.0336,3.0068,13.132,0.9018,0.0395,0.053,0.356,0.2238,0.1017,0.698,0.1039,0.0694,2.826,1.363,
ALL,Financial Services,5.441,8.2029,0.7938,1.8815,4.628,0.452,0.1661,0.051,1.032,0.2902,0.1519,0.313,0.3952,0.0649,0.2509,0.366,2.09
ALLE,Industrials,18.9852,14.8731,2.9877,5.8719,13.858,2.1686,0.0416,0.093,0.033,0.2141,0.1583,0.452,0.3608,0.1124,1.04,1.842,1.47
AMAT,Technology,35.7039,25.0385,9.8018,12.7342,30.963,1.6603,0.0157,-0.021,0.752,0.2989,0.2778,0.4872,0.3886,0.1485,0.3311,2.715,0.61
AMCR,Consumer Cyclical,30.0226,9.0714,0.9409,1.5855,11.794,0.4951,0.0242,0.681,-0.321,0.083,0.0304,0.1893,0.0773,0.0391,1.3873,1.301,6.51
AMD,Technology,83.3333,20.1866,10.2374,5.6274,51.604,0.6454,0.0129,0.341,2.171,0.1706,0.1252,0.5249,0.0708,0.032,6.359,2.85,
AME,Industrials,34.1078,25.0358,6.7561,4.7039,22.09,2.7355,0.027,0.134,0.036,0.2752,0.2,0.3638,0.1459,0.0788,0.2419,1.062,0.62
AMGN,Healthcare,24.4512,14.9446,5.1036,21.6529,14.074,2.3311,0.04,0.086,1.121,0.3055,0.2098,0.7078,1.061,0.0793,6.4028,1.14,2.9
AMP,Financial Services,11.9609,9.3285,2.1319,6.0472,,1.468,0.0885,0.086,-0.011,0.3535,0.1884,0.5618,0.6051,0.0227,0.576,2.29,1.47
AMT,Real Estate,32.1722,25.0599,7.6406,22.1792,18.988,1.9207,0.0554,0.075,-0.332,0.4494,0.2376,0.7418,0.2628,0.049,4.3421,0.397,3.97
AMZN,Consumer Cyclical,29.2566,22.3328,3.141,5.4762,15.833,1.6126,0.0106,0.136,0.05,0.1053,0.1083,0.5029,0.2229,0.0693,0.4344,1.051,
ANET,Technology,46.0655,29.635,17.7139,12.8674,37.805,1.7795,0.0212,0.289,0.191,0.4152,0.3899,0.6406,0.314,0.1439,0.732,3.048,
AON,Financial Services,18.9748,15.0503,4.0425,7.4116,14.633,2.5688,0.0441,0.037,1.383,0.3135,0.2151,0.472,0.4694,0.0589,1.6832,1.11,0.92
AOS,Industrials,16.7143,14.7961,2.3234,4.7983,10.958,1.3323,0.0479,0.0,0.191,0.1795,0.1426,0.3883,0.292,0.1426,0.1097,1.497,2.18
APA,Energy,10.5363,12.1002,1.7099,2.4354,3.897,4.7991,0.132,-0.28,-0.182,0.3058,0.1651,0.6801,0.2532,0.0896,0.6869,0.825,2.38
APD,Basic Materials,,20.9121,5.3538,4.2411,99.961,6.409,-0.0941,0.058,0.097,0.2428,-0.0273,0.3163,-0.0167,-0.0111,1.0199,1.459,2.47
APH,Technology,38.3234,24.7976,6.8128,11.7055,23.25,1.4258,0.0208,0.491,0.576,0.2747,0.1849,0.3722,0.3685,0.1311,1.1894,2.979,0.78
APO,Financial Services,19.3213,9.9444,1.9542,2.8243,,0.5585,,0.877,-0.573,0.1813,0.1098,0.3734,0.147,0.0129,0.9947,1.659,1.91
APP,Communication Services,38.4448,19.0719,23.8246,61.2314,30.759,1.069,0.0207,0.659,0.847,0.7692,0.6083,0.8786,2.1294,0.3953,1.718,3.322,
APTV,Consumer Cyclical,81.32,6.6065,0.7509,1.4093,6.116,0.7218,0.0849,0.05,-0.434,0.103,0.0081,0.1915,0.0195,0.0591,0.8521,1.736,
ARE,Real Estate,,-540.375,2.4832,0.4766,12.06,,0.1796,-0.052,,0.2274,-0.4738,0.6942,-0.0586,0.0109,0.6661,1.617,9.44
ARES,Financial Services,59.9006,13.5456,6.0513,8.0749,33.556,0.7823,0.0595,0.195,-0.814,0.1354,0.0942,0.3654,0.1352,0.0234,1.6345,0.472,5.27
ATO,Utilities,24.6375,21.398,6.4204,2.1888,16.946,2.2621,-0.0599,0.142,0.094,0.3885,0.2567,0.5782,0.0924,0.0365,0.6744,1.13,2.12
AVB,Real Estate,22.4351,33.2315,7.7297,2.0005,17.738,,0.0571,0.037,-0.409,0.3064,0.3457,0.6314,0.0889,0.027,0.8026,0.406,4.29
AVGO,Technology,61.3158,17.6322,21.8413,18.6511,41.409,0.6843,0.0171,0.295,0.316,0.4494,0.3657,0.7673,0.3337,0.1066,0.827,1.902,0.83
AVY,Consumer Cyclical,19.4852,15.0712,1.4894,5.8793,11.901,1.9222,0.0469,0.039,-0.006,0.1271,0.0777,0.2875,0.3021,0.0822,1.7634,1.127,2.19
AWK,Utilities,24.2777,20.987,5.2482,2.4879,15.325,2.4913,-0.0868,0.058,0.0,0.3218,0.2162,0.6072,0.105,0.0347,1.4699,0.462,2.4
AXON,Industrials,269.8105,39.059,11.9405,10.2115,622.243,,0.0069,0.385,-0.98,-0.0306,0.0449,0.5982,0.0448,-0.0032,0.5911,2.526,
AXP,Financial Services,19.5303,14.9006,3.0775,6.1517,,1.5431,,0.106,0.166,0.1746,0.1617,0.6347,0.3399,0.0379,1.9092,1.405,1.27
AZO,Consumer Cyclical,23.81,19.4646,2.873,-19.3118,16.359,1.8502,0.0152,0.082,-0.023,0.1634,0.1247,0.5188,,0.1149,,0.89,
BA,Industrials,83.9597,44.3271,1.829,29.9899,-59.061,,0.0108,0.571,,-0.0318,0.025,0.0483,2.9008,-0.02,10.3289,1.188,
BAC,Financial Services,12.9606,9.9418,3.299,1.2846,,0.9305,,0.072,0.212,0.4163,0.284,0.0,0.1022,0.0091,,,2.27
BALL,Consumer Cyclical,18.1727,13.3121,1.2128,2.9357,10.992,1.2774,0.0554,0.162,,0.1013,0.0693,0.1959,0.1612,0.0468,1.3603,1.114,1.33
BAX,Healthcare,,8.1327,0.7658,1.3996,8.111,36.6767,0.2825,0.08,,0.0736,-0.0851,0.3574,-0.1371,0.0283,1.6028,2.314,2.16
BBY,Consumer Cyclical,12.7976,9.1423,0.3242,4.5503,6.046,1.2207,0.0623,-0.01,3.725,0.0502,0.0256,0.2248,0.3704,0.0752,1.3947,1.107,5.95
BDX,Healthcare,25.2467,11.4339,2.5533,1.7402,10.391,1.1953,0.0555,0.016,0.286,0.1335,0.0801,0.4678,0.0696,0.0408,0.7728,1.049,2.72
BEN,Financial Services,21.6667,8.0444,1.3792,1.0027,8.992,0.3178,0.0269,0.034,0.606,0.1652,0.0697,0.3704,0.0446,0.0237,0.2459,5.564,5.64
BF-B,Consumer Defensive,15.5523,15.7396,3.1382,3.006,12.103,4.3454,0.0488,0.02,0.013,0.3191,0.2064,0.5934,0.2042,0.086,0.6725,2.767,3.42
BG,Consumer Defensive,26.2515,12.6123,0.3561,1.5739,19.294,,-0.2838,0.755,-0.888,0.0126,0.0116,0.0485,0.0596,0.0251,0.9101,1.612,2.16
BIIB,Healthcare,20.1523,11.1128,2.6314,1.426,8.011,3.677,0.0761,-0.071,,0.1964,0.1307,0.7895,0.0739,0.0614,0.3647,2.679,
BK,Financial Services,16.5041,13.0075,4.2575,2.1292,,1.317,,0.078,0.305,0.3732,0.2774,0.0,0.129,0.0126,,,1.74
BKNG,Consumer Cyclical,632.6259,13.3963,5.0228,-23.9824,13.359,0.0283,0.0485,0.16,0.384,0.3245,0.2008,0.8736,,0.2082,,1.333,0.94
BKR,Energy,23.2231,20.8198,2.1592,3.1636,13.383,3.2631,0.0188,0.003,-0.256,0.1251,0.0933,0.2368,0.1455,0.0554,0.3526,1.357,1.52
BLDR,Industrials,20.3393,10.303,0.5761,2.0103,9.922,,0.0713,-0.121,-0.829,0.0184,0.0286,0.3039,0.1006,0.045,1.1719,1.859,
BLK,Financial Services,27.3968,15.6667,6.2083,2.6819,16.181,1.2184,0.0468,0.234,-0.317,0.3674,0.2293,0.4671,0.1072,0.0347,0.2437,2.039,2.37
BMY,Healthcare,17.2254,9.7062,2.5249,6.5689,8.261,,0.0916,0.013,13.921,0.2816,0.1464,0.7262,0.4044,0.1029,2.5498,1.255,4.23
BR,Technology,17.802,15.5485,2.6167,6.5228,12.519,1.1202,0.0637,0.078,1.017,0.1202,0.1486,0.3122,0.4179,0.0918,1.1718,0.972,2.42
BRK-B,Financial Services,15.3835,21.9225,2.7718,0.001,-2.125,,0.0357,-0.007,-0.025,0.3296,0.1803,0.2615,0.0981,0.0511,0.1881,7.067,
BRO,Financial Services,20.8702,13.2538,3.8957,1.7661,14.791,,0.0624,0.362,-0.162,0.2317,0.1829,0.4907,0.1123,0.0424,0.6298,1.039,0.96
BSX,Healthcare,32.3814,16.0707,4.6509,3.8443,19.379,0.6782,0.0347,0.159,0.185,0.1969,0.1444,0.6878,0.1244,0.0598,0.4892,1.617,
BX,Financial Services,29.2119,14.4634,9.722,10.2178,,1.6822,,0.506,0.425,0.5283,0.2124,1.0,0.2923,0.1326,0.6653,1.01,4.19
BXP,Real Estate,29.7586,24.8345,2.9076,1.595,16.537,1.9869,0.1032,-0.319,,-0.0659,0.0878,0.5644,0.0492,0.0167,2.26,0.923,5.95
C,Financial Services,16.4643,9.4934,2.6627,1.0477,,0.844,,0.044,-0.108,0.2566,0.1889,0.0,0.0683,0.0058,,,2.08
CAG,Consumer Defensive,,9.1914,0.6725,0.9212,8.202,10.8594,0.0933,-0.019,0.39,0.1057,-0.0039,0.2427,-0.0051,0.0444,0.8981,0.901,8.91
CAH,Healthcare,30.7543,18.4875,0.2059,-17.5164,14.858,1.3764,0.1081,0.188,0.194,0.0123,0.0068,0.0369,,0.035,,0.906,0.95
